,,,,,
N.º INTR,27,,,,
N.º TRAN,30,,,,
TOTAL,57,,,,
,,,,,
ORA,SEGMENT,GLOSA,TRAD,TIPO,FUENTE
,dɨno=koni   koko   bɨta-da-tɨ-koko ,AT.CLF:SP.LUGAR=LOCAL1   1du.m   acostarse.en.el.suelo.TH-CUERPO-LK-1du.m,Nosotros (dos hombres) nos acostamos en el suelo aquí,I,Wojtylak (2017): pp. 273
,jae   ua   uzu-tɨaɨ   jaai~jai-kai-d-e   mei   nɨ-no-mo   neka-zɨ   uai-d-e,PASADO   realmente   abuelo-KIN.PL   ir~RED-INCP-LK-3   entonces   Q2-CL:SP.LUGAR-LOC   umarí.verde-CLF:OVALADO.PEQUEÑO   caer-LK-3  ,"En los viejos tiempos, los ancianos iban (e iban) a lugares donde cae el umarí (fruta)",I,Wojtylak (2017): pp. 273-274
,nia   bene   (kue)   fɨebi-dɨ-kue,TODAVÍA   AQUÍ.LOC:NSP   (1SG)   quedarse-LK-1SG,Yo me he quedado aquí hasta ahora,I,Wojtylak (2017): pp. 276
,ie=mei   bai-e=dɨ   maloka   i-makɨ   aiyo   i-t-e,CON=entonces   eso.FSH-CLF:G=S/A.TOP   maloca.Sp   ANA.NSP-CLF:PR.GR.AN   mucho   existir-LK-3,"Entonces, hay muchas de esa gente maloca",I,Wojtylak (2017): pp. 277
,bi-rui=dɨ   rakuiya   ire-iaɨ   i-t-e,esto.CTS-CLF:DAY=S/A.TOP   gente.blanca   trampa-PL   existir-LK-3,"Hoy en día (ah, los viejos tiempos ya pasaron), hay muchas trampas de las personas blancas (para atrapar grandes animales)",I,Wojtylak (2017): pp. 277
,kue=mei   mare-na   komui-dɨ-kue,1SG=entonces   bueno.ATT-N.S/A.TOP   crecer-LK-1SG,Yo crecí bien,I,Wojtylak (2017): pp. 285
,ie=mei   gua-ja-no-na   ɨmui-ya-no-na   kome   jai   du-t-e,CON=entonces   machacar-E.NMLZ-SEC-N.S/A.TOP   añadir.sal-E.NMLZ-SEC-N.S/A.TOP   persona   ya   chacchar.coca-LK-3  ,"Y entonces, luego de machacar, luego de añadir sales, uno (persona) ya la chaccha (la coca)",I,Wojtylak (2017): pp. 286
,maka-kana   bi-tɨ-kue,caminar-SUPERPOSICIÓN   venir-LK-1SG,Yo vine caminando,I,Wojtylak (2017): pp. 287
,uru-e   ɨnɨ-d-e,niño-CLF:G   dormir-LK-3,El niño duerme,I,Wojtylak (2017): pp. 298
,bi-rui-yaɨ-do   nofɨko-mo   i-tɨ-kue,esto.CTS-CLF:DÍA-PL-INS   La.Chorrera-LOC   existir-LK-1SG,"Hoy en día, Yo vivo en La Chorrera",I,Wojtylak (2017): pp. 300
,dɨno-mo   raɨna-da-t-e   eimo   doni-ye-na,AT.CLF:SP.LUGAR-LOC   sentar-TH-CUERPO-LK-3   cerdo   pelar-FUT.E.NMLZ-N.S/A.TOP,(El cazador) se sentó ahí a pelar la piel del cerdo (lit. para el futuro pelado de un cerdo),I,Wojtylak (2017): pp. 300
,nai-mɨe   rɨi-tai-ya-no   eraɨ-mo   jai   jaai-d-e,ANA.SP-CLF:PR.M   enojado-VOLVERSE2-E.NMLZ-SEC   estuario-LOC   ya   ir-LK-3,"Luego de enojarse, él se fue para El Encanto (lit. estuario)",I,Wojtylak (2017): pp. 300
,kaɨ   gaɨri-ya-birɨ-mo   ñaai~ñai-dɨ-kaɨ,1PL   reunir-E.NMLZ-CLF:SITIO-LOC   hablar~RED-LK-1PL,Nosotros estábamos hablando (y hablando) en nuestro lugar de reunión (en la maloca),I,Wojtylak (2017): pp. 300
,kue   aɨ   iyɨ   jaai-d-e,1SG   esposa   jungla.jardín   ir-LK-3,Mi esposa fue al jardín de la jungla,I,Wojtylak (2017): pp. 301
,beno-mo   i-tɨ-kaɨ,AQUÍ.CLF:SP.LUGAR-LOC   existir-LK-1PL,"Nosotros vivimos aquí [en este lugar específico, e.g. en esta aldea]",I,Wojtylak (2017): pp. 303
