,,,,,
N.º INTR,27,,,,
N.º TRAN,29,,,,
N.º DITRAN,1,,,,
TOTAL,57,,,,
,,,,,
ORA,SEGMENT,GLOSA,TRAD,TIPO,FUENTE
,e-a-ra   isin-ai,1-ABS-EV   estar.enfermo-INC,Yo estoy enfermo,I,Valenzuela (2010): pp. 71
,e-a-ra   kako-nko   ka-iba-ke,1-ABS-EV   Caco-ALL   ir-PST2-COMPL,Yo fui a Caco ayer,I,Valenzuela (2010): pp. 71
,moa-ra   jato   bo-kan-ai,ya-EV   3P:ABS   ir.non.SG-PL-INC,Ellos/ellas ya se van,I,Valenzuela (2010): pp. 73
,ja-bo-ra   pishiman   yaká-kan-ke,3-PL:ABS-EV   alfombra:LOC   estar.sentado-PL-CMPL,Ellos/ellas están sentados en la alfombra,I,Valenzuela (2003): pp. 327
,jaino-a-x   bo-kan-ai   chiponki…,allí:LOC-ABL-S   ir.PL-PL-INC   río.abajo,"Luego, ellos fueron río abajo",I,Valenzuela (2003): pp. 521
,pena-ra   saiik-ai,Pena:ABS-EV   gritar.por.ayudar-INC,Pena está gritando por ayuda,I,Valenzuela (2003): pp. 337
,ea-ra   napon-ke,1:ABS-EV   (llegar).al.medio.del-CMPL,Yo alcancé el centro (del río o del lago),I,Valenzuela (1997)
,bake-ra    xobo-n    tsini-ai,niño:ABS-EV   casa-LOC   jugar-INC,El niño está jugando en casa,I,Valenzuela (1990): pp. 358
,nokon   ochíti-ra   tapo-n   ransa-[a]i,POSS1   comer:ABS-EV   corteza.de.palma.piso-LOC   bailar-INC,Mi perro está bailando en el piso de corteza de palma,I,Valenzuela (2003): pp. 657
,nokon   bake-ra   bachi-n   oxa-[a]i,POSS1   hijo:ABS-EV   mosquitero-LOC   dormir-INC,Mi hijo está durmiendo en el mosquitero,I,Valenzuela (2003): pp. 658
,nokon   ohcíti-ra   jojo   ik-ai   nii   meran,POSS1   perro:ABS-EV   ladrar-INC   bosque   adentro,Mi perro está ladrando en el bosque,I,Valenzuela (2003): pp. 658
,bake-ra   choron-ke   kimisha-i,niño:ABS-EV   saltar-CMPL   tres-I,El niño saltó tres veces,I,Valenzuela (2003): pp. 661
,shoko-res   pi-ai,un.poquito-solo   comer-INC,Voy a comer solo un poquito,I,Valenzuela (2003): pp. 146
