,,,,
TOTAL:,40,,,
,,,,
ORA,SEGMENT,GLOSA,TRAD,FUENTE
,kaluwiʔ-pa-lək,estar.enfermo-CONT-NFUT.1SG,Estoy enfermo,Valenzuela (2008): pp. 207
,nana   wila   ðuʔ-apa-ʎi   musən-kək,ese   niño   estar.sentado-CONT-NFUT.3SG   alto-LOC,El niño estaba sentado en lo alto,Valenzuela (2008): pp. 208
,nanək-la   yunsuʔ-lək   Yurimawək,ahí-ABL   salir-NFUT.1SG   Yurimaguas:LOC/DIR,Después salí a Yurimaguas,Valenzuela (2008): pp. 208
,ðañir   t͡ʃiʔyək-ʎi   ,Daniel   escaparse-NFUT.3SG,Daniel se escapó,Valenzuela (2008): pp. 208
,ðañir   təkaʔ-ʎi,Daniel   correr-NFUT.3SG,Daniel corrió,Valenzuela (2008): pp. 208
,lansaʔ-pa-ʎinaʔ,bailar-CONT-NFUT.3PL,Ellos están bailando,Valenzuela (2008): pp. 208
,ðiʔ-lək,matar-NFUT.1SG,(Lo/la) maté,Valenzuela (2008): pp. 208
,piʎiʔ-tu-la,agarrar-PRFV-NFUT.2SG,(Lo/la) empuñaste/agarraste,Valenzuela (2008): pp. 208
,nana   pamuʔ-ʎi   ukta,3SG   lavar-NFUT.3SG   olla,Él/ella lavó la olla,Valenzuela (2008): pp. 208
,napiʔ   suða-tu-lək,hace.tiempo   esposo/casarse-PRFV-NFUT.1SG,Hace tiempo me casé,Valenzuela (2008): pp. 212
,Kiʃu(-lər)   kaʔ-ʎi   nana   iʃa,Jesús(-ERG)   comer-NFUT.3SG   ese   paujil,Jesús comió el paujil (tipo de pava de monte),Valenzuela (2008): pp. 215
,Kiʃu-lər   kaʔ-ʎi,Jesús-ERG   comer-NFUT.3SG,Jesús (lo) ha comido,Valenzuela (2008): pp. 215
,ɲiɲiʔ-wawa-lər   kitək-ʎi   nana   wila-wawa,perro-bebe-ERG   morder-NFUT.3SG   ese   niño-bebe,El cachorrito le mordió al muchachito,Valenzuela (2008): pp. 216
,nana   wila-lər-untaʔ   nana   ɲiɲiʔ-wawa   kitək-ʎi,ese   niño-ERG-REP   ese   perro-bebe   morder-NFUT.3SG,y el muchachito también le mordió al cachorrito,Valenzuela (2008): pp. 216
,Ipuʎitu(-lər)   ðiʔ-tu-ʎi   Pulu,Hipólito(-ERG)   matar-PRFV-NFUT.3SG   Pablo,Hipólito mató a Pablo,Valenzuela (2008): pp. 216
,Ipuʎitu   ðiʔ-tu-ʎi   Pulu-lər,Hipólito   matar-PRFV-NFUT.3SG   Pablo-ERG,Pablo mató a Hipólito,Valenzuela (2008): pp. 216
,Waʎinchi   sakaʔ-tu-ʎi   Kiʃu-kin,Valentín   trabajar-PRFV-NFUT.3SG   Jesús-para,Valentín trabajó para Jesús,Valenzuela (2008): pp. 217
,Waʎinchi-lər   saki-tu-ʎi   Kiʃu,Valentín-ERG   trabajar:BEN-PRFV-NFUT.3SG   Jesús,Valentín le trabajó para Jesús,Valenzuela (2008): pp. 217
,alaʔluʔsaʔ   [katuʔtaʔ   wila-luŋ-lusaʔ   katuʔtaʔ   yuyuʔwa-lusaʔ]-lər   kaperʔ-aŋnaʔ   lumeʎʎinaʔ ,un.día   dos   niño-mujer-PL   dos   muchacho-PL-ERG   encontrarse-PART.3PL   reírse.de:NFUT.3PL,"Un día, dos muchachas y dos muchachos encontrándolo (en el camino) se burlaron de él",Valenzuela (2008): pp. 218
,Nanek   anu'-lek,ahí   caer-NFUT.1SG,Ahí (es donde) yo caí,Valenzuela (2011): pp. 97
