,,,,
TOTAL,60,,,
,,,,
ORACIÓN,SEGMENTACIÓN,GLOSADO,TRADUCCIÓN,FUENTE
,suru-á   kad͡ʒá,correr-2ps/A   hombre,El hombre corre,Olawsky (2006): pp. 123
,kaʉ-á   kʉraanáa,regresar-3ps/A   jefe,El jefe regresa,Olawsky (2006): pp. 123
,u-á   siniherá,morir-3ps/A   esposo,El esposo murió,Olawsky (2006): pp. 123
,ahaarutó-a   kad͡ʒá,estar.caliente-3ps/A   hombre,El hombre está caliente [por el calor],Olawsky (2006): pp. 143
,kad͡ʒa=té   siní,hombre=FOC   dormir:3ps/E,El hombre duerme,Olawsky (2006): pp. 146
,enamanáa=te   siní,hombre.joven=FOC   dormir:3ps/E,El hombre joven duerme,Olawsky (2006): pp. 147
,amʉ-á   kʉ-á,caminar-NTR   ir-3ps/A,Él se fue a cazar,Olawsky (2006): pp. 148
,nauta-ʉ=ne   kʉ-ʉ̃,Nauta-LOC=FOC   ir-1sg/E,Yo fui a Nauta,Olawsky (2006): pp. 156
,loanari   asae   sini   raj   beree-kʉrʉ   ajɲa,cobertizo   debajo   dormir:3ps/E   POSS   niño-PL   con,Ella durmió debajo de un cobertizo con sus niños,Olawsky (2006): pp. 167
,kareto-ana-a   raj   n=ʉsid͡ʒue=ne   hãʉ,ser.largo-SPTL-3ps/D   POSS   3ps=uña=SUB   porque,porque sus uñas son largas…,Olawsky (2006): pp. 167
,ãaʃihi-a   kaa   lureri,ser.pequeño-3ps/A   esta   casa,Esta casa es pequeña,Olawsky (2006): pp. 191
,hataĩ   kauato-a   hãʉ,muy   ser.bueno-3ps/D   porque,Porque ella era muy hermosa,Olawsky (2006): pp. 192
,tʉrʉ-a   biiɲa,llegar-3ps/A   viejo.hombre,El anciano ha llegado,Olawsky (2006): pp. 195
,nii   saabere   laauhwiri   ajɲa   kʉ-a   hãʉ   hetau,ese   machete   pequeño   con   ir-3ps/D   porque   HRS,Porque él estaba yendo con ese pequeño machete,Olawsky (2006): pp. 199
,kʉ   ajɲa   rãasa-ʉre,ahí   con   bailar-3pl/E,Ellos bailaron con ella ahí,Olawsky (2006): pp. 223
,helaja   naĩ   ukwana   hana   kʉ-e   lehjhĩĩ   kad͡ʒa,mismo.lugar   ahí   campo   adentro   ir-3ps/E   uno   hombre,Un hombre fue allí mismo a su campo (que estaba muy lejos),Olawsky (2006): pp. 223
,n=ukwana   hana=te   kʉ-e,3sg=campo   adentro=FOC   ir-3ps/E,"Él fue a [""dentro""] de su campo",Olawsky (2006): pp. 226
,neru-a   kutʉka   hana,jugar-3ps/A   charco   adentro,Él está jugando en el charco,Olawsky (2006): pp. 226
,lejhĩĩ   hid͡ʒana-ad͡ʒa   kʉane=te   nesarid͡ʒãete-kʉre   kad͡ʒa-ʉrʉ,uno   cerbatana-solo   adentro=FOC   cazar-3pl/E   hombre-PL,La gente cazaba solo con una cerbatana,Olawsky (2006): pp. 230
,dede   kahe=te   hwa-e,cielo   de=FOC   descender-3ps/E,Ella vino del cielo,Olawsky (2006): pp. 232
,lureri   kahe   hwa-ʉ̃,casa   de   descender-1sg/E,He descendido de la casa,Olawsky (2006): pp. 232
,nii   kahe=ne   kwitʉkʉ-ʉ̃,eso   de=FOC:1sg   saber-1sg/E,"De eso [experiencia], yo sé [i.e. Yo he aprendido a partir de esa situación]",Olawsky (2006): pp. 233
,sauki   kahe=te   nid͡ʒataha-ĩ   setʉ-e   ate,cinco   de=FOC   tres-PRT   pudrirse-3ps/E   pescado,Tres de los cinco pescados se han podrido,Olawsky (2006): pp. 233
,akaʉrʉ   kaihje   ini-a   kʉ-a,3pl   detrás   ir.arriba-NTR   ir-3ps/A,Ella se subió detrás de ellos,Olawsky (2006): pp. 234
,tomijo   bana=te   nebetaka-e,domingo   cuando=FOC   relajar-3ps/E,"Los domingos, él se relaja",Olawsky (2006): pp. 238
,kana+kwaaʉn-era   kurenia=ne   id͡ʒau-akaanʉ,1pl/in+crear-AG   para=FOC:1pl   vivir-1pl/ex,Nosotros vivimos para Dios,Olawsky (2006): pp. 239
,ena=te   amiane   kana+kwaaʉn-era   raj,ahora=FOC   trabajar:3ps/E   nuestro.creador   para,"Ahora, él trabaja para Dios",Olawsky (2006): pp. 240
,nete   akarʉʉ   ɲasi-lanaala   amʉ-e   nii   hanulari,pero   3pl   daño-sin   caminar-3ps/E   ese   jaguar,"Pero sin hacerles ningún daño, eso(s) jaguar(es) (se) fueron [Sobre dos jaguares mencionados antes]",Olawsky (2006): pp. 366
,hjaane   kwara-káʉ̃,achiote   ver-1SG/A,Yo vi el achiote,Olawsky (2006): pp. 122
,hjaane   kwara-kãʉ̃,achiote   ver-1SG/A,Yo vi la orina,Olawsky (2006): pp. 122
,kwitʉkʉ-á   kad͡ʒá,conocer-3ps/A   hombre,El hombre lo conoce,Olawsky (2006): pp. 141
,su-urʉ-á   id͡ʒaʉena-ʉrʉ́,matar-PL-3ps/A   anciano-PL,Los ancianos lo mataron,Olawsky (2006): pp. 142
,enejd͡ʒʉ   kwára-a   kad͡ʒá,mono   ver-3ps/A   hombre,El hombre vió al mono,Olawsky (2006): pp. 144
,kanʉ   síʉra   laauhwiri   basihjaʉ-á   kad͡ʒa   báaso,1sg   bolso   pequeño   robar-3ps/A   hombre   malo,El hombre malo robó mi pequeño bolso,Olawsky (2006): pp. 144
,kanʉ=né   kwitʉkʉ-ʉ̃,1sg=FOC:1sg   conocer-1sg/E,Yo lo conozco,Olawsky (2006): pp. 146
,akano=né   kwara-ʉ̃,serpiente=FOC:1sg   ver-1sg/E,Yo he visto una serpiente [foco en 'serpiente'],Olawsky (2006): pp. 147
,kad͡ʒa=té   enejd͡ʒʉ   sw-é,hombre=FOC   mono   matar-3ps/E,El hombre mató al mono,Olawsky (2006): pp. 147
,kanʉ=né   enamanáa kwara-ʉ̃,1sg=FOC:1sg   hombre.joven   ver-1sg/E,Yo vi a un hombre joven,Olawsky (2006): pp. 147
,obana id͡ʒafwa-a   kad͡ʒa,collar.pecarí   disparar-3ps/A   hombre,El hombre disparó el pecarí de collar,Olawsky (2006): pp. 168
,bute   sẽohwa   id͡ʒa-e,bote   grande   hacer-3ps/E,Él hizo un gran bote,Olawsky (2006): pp. 195
,leod͡ʒa   raj=ɲa   te-ʉ̃,otro   para=FOC:1sg   dar-1sg/E,Se lo he pasado a otra persona,Olawsky (2006): pp. 197
,leod͡ʒa   id͡ʒau-naa   ke   id͡ʒau-rʉ-a,otro   vivir-NOM   VLI   vivir-PL-3ps/A,Ellos viven una vida diferente,Olawsky (2006): pp. 196
,ii=te   baaso   id͡ʒa-i,2sg=FOC   malo   hacer-2ps,Tú hiciste malas cosas,Olawsky (2006): pp. 197
,enʉa   laauiɲaa-kʉrʉ   fwi-ʉrʉ-a,árbol   pequeño.PL-PL   caer-PL-3ps/A,Ellos derribaron pequeños árboles,Olawsky (2006): pp. 200
,nad͡ʒasiɲe   kwara-kãʉ,nuevo   ver-1sg/A,Yo he visto algo nuevo,Olawsky (2006): pp. 201
,beree   amaema-he   hetau   ʉnee   bʉa   kʉane,niño   deambular-CNT:3ps/E   HRS   kinkajú   bolsa   adentro,El kinkajú lleva a su cría en una bolsa,Olawsky (2006): pp. 230
,kahjune   kaja-hakwa-ʉrʉ-a   kad͡ʒa-ʉrʉ   kahe,ropas   confiscar-DSTR-PL-3ps/A   hombre-PL   de,Ellos le quitaron la ropa a la gente,Olawsky (2006): pp. 233
,kaihje   tʉrʉ-ĩ   fwanara   basihjaʉ-a,detrás   llegar-PRT   plátano   robar-3ps/A,Él se robó plátanos detrás [a espaldas de alguien],Olawsky (2006): pp. 234
,id͡ʒa-kʉrʉ-a   leod͡ʒa-ʉrʉ,hacer-PL-3ps/A   otro-PL,Los otros lo hicieron,Olawsky (2006): pp. 365
,itulere   rʉkʉele   ke=te   ne-kurete-ʉre   akaʉrʉ,todo.tipo   cosas   VLI=FOC   ITR-comprar-3pl/E   3pl,Ellos venden todo tipo de cosas,Olawsky (2006): pp. 365
,iɲoaelʉ   ne-nakaʉrʉ   kad͡ʒa-ʉrʉ   hetau=te   erʉ-rehete,antes   ser-aquellos.que   hombre-PL   HRS=FOC   encontrar-HAB1:3ps/E,Se dice que los antiguos los encontraron,Olawsky (2006): pp. 366
,ena   netohewĩ=te   ate   mʉkʉ-ʉre   katai   ke,ahora   hasta=FOC   pez   atrapar-3pl/E   gancho   INST,"Hasta ahora, ellos atrapan peces con un gancho",Olawsky (2006): pp. 367
,ɲoaelʉ   kahe   kwaaʉne-ĩ   fwanara   ki-akaanʉ,antes   de   crear-PRT   plátano   comer-1pl/ex,"Desde siempre, nosotros hemos comido plátanos",Olawsky (2006): pp. 367
,erʉari-ʉrʉ   ahaiɲe   ne-ĩ   kʉ-e,mosquitero-PL   paiche.pez   ser-PRT   ir-3ps/E,El mosquitero se convierte en un pez paiche,Olawsky (2006): pp. 366
,enejd͡ʒʉ   su-a=ne   hãʉ,mono   matar-3ps/D=SUB   porque,Porque él mató al mono,Olawsky (2006): pp. 488
,aka=te   enejd͡ʒʉ   sw-e,3sg=FOC   mono   matar-3ps/E,Él [foco] mató al mono,Olawsky (2006): pp. 488
,enejd͡ʒʉ   su-a,mono   matar-3ps/A,Él mató al mono,Olawsky (2006): pp. 488
,ki-i=ɲe   kujɲa=na   hjã   te-ʉ̃=ra ,comer-2ps=SUB   para.que=FOC:1sg   solo   dar-1sg/E=EMF,Yo te lo di a ti para comer [Viendo que él no lo come],Olawsky (2006): pp. 287
,lenone   kauad͡ʒa   te-i-d͡ʒe ,comida   buena   dar-2ps-PL,Ustedes le dan buena comida,Olawsky (2006): pp. 312
,ɲãe   ii   si-ri-d͡ʒãʉ=ni ,ya   2sg   dar-IRR-1sg/A=ASS,Ya te daré,Olawsky (2006): pp. 390
