,,,,
TOTAL,57,,,
,,,,
ORACIÓN,SEGMENTACIÓN,GLOSADO,TRADUCCIÓN,FUENTE
,uɨ-a-ha-i,ir-IPFV-1SG.SUJ-DECL,Yo estoy yendo.,Peña (2015): pp. 713
,kana-ra-ma-ha-i,dormir.PFV-DISTR-IMM.PT-1SG.SUJ-DECL,Yo dormí.,Peña (2015): pp. 713
,amɨ   uɨka-sa-mɨ,2sg   caminar-ATT-2SG.SUJ+DECL,Tú caminaste.,Peña (2015): pp. 713
násɨ ampúawai [...],násɨ   ampu-a-ua-i,viento   soplar-IPFV-3.SUJ-DECL,El viento está soplando…,Peña (2015): pp. 722
juáwarãĩ,iu-áu-ara-ĩ,comer-HIAF-PL-3.PFV+DECL,Ellos acaban de comer.,Peña (2015): pp. 661
hakáji,ha-ka-ji,morir-INTENS-3.PT+DECL,Él acaba de morir.,Peña (2015): pp. 661
,Puhupata   uiʃi-ra-ma-ji,Puhupata   reír-DISTR-REC.PT-3.PT,Puhupata rió.,Peña (2015): pp. 713
atílio wɨ́maji,Atilio   uɨ-ma-ji,Atilio   ir-REC.PT-3.P+DECL,Atilio fue.,Peña (2015): pp. 721
júmi ʃíir jutúkti,iumi   ʃiira   iutu-ka-ti,lluvia   muy   llover-INTENS-JUSS,¡Que la lluvia llueva fuerte!,Peña (2015): pp. 722
,Puhupata   uiʃi-a-ua-i,Puhupata   reir-IPFV-3SG.SUJ-DECL,Puhupata ríe.,Peña (2015): pp. 713
ðína úutɨawɛɛ,Dina   uutɨ-a-ua-i,Dina   llorar-IPFV-3SUJ-DECL,Dina está llorando.,Peña (2015): pp. 721
ɨnt͡sánam jukúmaji,ɨnt͡sa=nama   jukuma-ji,río=LOC   nada+IPFV-3.PT+DECL,Voy a nadar al río.,Peña (2015): pp. 721
júawɛɛ,iu-a-ua-i,"comer-IPFV-3,SUJ-DECL",Él está comiendo,Peña (2015): pp. 165
hĩáji,hɨ̃á-ji,llegar+HIAF-3.PT+DECL,Él acaba de llegar,Peña (2015): pp. 201
ʃiíkmimɨ,ʃiikima-i-mɨ,sonarse.la.nariz-LOAF-3.SUJ+DECL,Él se acaba de sonar la nariz,Peña (2015): pp. 206
titʲahɛɛ,ti-ta-ha-i,decir+LOAF-IMM.FUT-1SG.SUJ-DECL,Yo diré,Peña (2015): pp. 206
amúawɛi,amu-a-ua-i,terminar-IPFV-3.SUJ-DECL,Ella/él está terminando,Peña (2015): pp. 209
táhi,ta-hi,decir+IPFV-1PL.SUJ+DECL,Nosotros estamos diciendo,Peña (2015): pp. 214
átum wɨkásrumɨ ,atumɨ   wɨka-sa-rumɨ ,2PL   caminar-ATT-2PL.SBJ+DECL,Ustedes acaban de caminar ,Peña (2015): pp. 666
táhamɨ,ta-hamɨ,decir+IPFV-1SG>2SG+DECL,Yo te estoy diciendo.,Peña (2015): pp. 603
,ui   ami=na   uaina-ka-ma-hamɨ,1SG   2SG=ACC   ver-INTENS-REC.PT-1SG>2SG+DECL,Yo te vi.,Peña (2015): pp. 717
táharmɨ,ta-harumɨ,decir+IPFV-1SG>2SG+DECL,Yo les estoy diciendo (a ustedes).,Peña (2015): pp. 603
táhimɨ,ta-himɨ,decir+IPFV-1PL>2SG+DECL,Nosotros te estamos diciendo.,Peña (2015): pp. 603
,ii   atumi=na   uaina-ka-ma-hirumɨ,1PL   2PL=ACC   ver-INTENS-REC.PT-1PL>2PL+DECL,Nosotros los vimos (a ustedes).,Peña (2015): pp. 717
táhirmɨ,ta-hi-rumɨ,decir+IPFV-1PL>2PL+DECL,Nosotros les estamos diciendo (a ustedes).,Peña (2015): pp. 604
,amɨ   mi=na   uaina-a-ua-mɨ,2SG   1SG=ACC   ver-IPFC-2SG.SU+DECL,Tú me estás viendo.,Peña (2015): pp. 714
,amɨ   mi=na   uaina-ka-ma-mɨ,2SG   1SG=ACC   ver-INTENS-REC.PT-2SG.SUJ+DECL,Tú me viste.,Peña (2015): pp. 714
