,,,,,
N.º INTR,31,,,,
N.º TRAN,25,,,,
TOTAL,56,,,,
,,,,,
ORACIÓN,SEGMENTO,GLOSA,TRADUCCIÓN,TIPO,FUENTE
siití̜ hí̜í̜ta núpoorá rumuntiy,sa=hití   hí̜í̜ta   núpoo-rá   rumu=ntíy,3SG.AN.I=volver   MEL   oscuro-CLF:GENERAL   allí=REPETIR,Él volvió allí por la noche otra vez.,I,Payne y Peña (2019): pp. 29
múy rɑ̠́ɑ̠tyéeníí munuñú,múy   rɑ̠́ɑ̠y=tée=níí   munuñú,there   fall.down=EMPH=3SG.AN.II   enemy,Ahí cayó (muerto) el enemigo.,I,Payne y Peña (2019): pp. 30
hátchiy hí̜í̜ta saradéésubenu sííwantidyéy,hátiy=siy   hí̜í̜ta   sa=radéésubenu   sa=íwa=ntiy=náy,ahí=ABL   MEL   3SG.AN.I=levantarse.repentinamente   3SG.AN.I=DAT=REPET=DECL,De ahí se levantó contra él.,I,Payne (1993): pp. 29
núúdyimú hí̜í̜tara riiwátya̜ rara̜a̜chaho,núúdyi=mú   hí̜í̜ta=rà   ra=hiwáay-ta̜   ra=ra̜a̜chá-ho,1PL.I=LOC   FOC=INAN.II   INAN.I=hacer-NMZ.INS   INAN.I=picar-CLF.HERRAMIENTAS,Con nosotros (hay) herramientas para hacer/cortar cosas (para la casa).,I,Payne y Peña (2019): pp. 30
siihéhéñuweehá̜á̜siy mokáyu sú̜ta̜hyariñaadá,siiy-hááy-nueww-há-hásiy   mokáyu   sú̜ta̜y=hariy=naadá,correr-entrar-LLEGAR&HACER.AQUÍ-POR.TIERRA-PROX.TEMP1   Mokáyu   refugio=dentro=3DU.II,Ellos (dos) corrieron al refugio de Mokayu al llegar.,I,Payne y Peña (2019): pp. 30
ᵗsawiʃa,sa=wicha,3SG.AN.I=ser/existir,Él/ella existe.,I,Payne y Peña (2019): pp. 7
raβitʃa,ray=wicha,1SG.I=ser/existir,Yo existo.,I,Payne y Peña (2019): pp. 7
ritye̜e̜ya̜a̜nú,riy=ta̜a̜ryá-hanú,3PL.I=volver-PST3,Ellos/Ellas volvieron hace tiempo.,I,Payne y Peña (2019): pp. 8
,náada-jú̜ú̜ri̜i̜   ru-nu-ju̜y,3DL-levantarse:temprano   DEMO-CL:HUMANO-DL,Estas dos (personas) se levantaron temprano.,I,Payne (1993): pp. 16
rañikyéé,ray-nikyee,1SG-hablar,Yo hablo.,I,Payne (1993): pp. 17
vuryiimíy,vurya-jimyiy,1PLINC-comer,Nosotros comemos.,I,Payne (1993): pp. 17
,sa-munaa-dee   kúútya,3SG-placenta-DIM   susurro,Su placenta susurra.,I,Payne (1993): pp. 18
,sa-suvú̜ú̜y   anita,3SG-temer   Aníta,Anita teme,I,Payne (1993): pp. 18
,váriy   sa-duu   vári-dyéy,luego   3SG-disparar   luego-DAY,"Luego, él (Abuelo) dispara.",I,Payne (1993): pp. 19
pariché naada-siimyaasíy rávïïmusíy,pariche naada-siiy-maasiy rá-vïïmu-siy,finalmente   3DL-correr-salida   INAN-adentro-de,"Finalmente, ellos (dos) salieron corriendo desde adentro.",I,Payne (1993): pp. 25
siiryi̜i̜dañíí koodidyéé,siiy-ri̜i̜-day-níí koodiy-dee,correr-adentro:pasar-inmediatamente-3COL   serpiente-DIM,"Inmediatamente, la pequeña serpiente se escabulló.",I,Payne (1993): pp. 27
múúy kinchunuveejásiryíy,múúy kinchu-nuvee-jásiy-ríy,allí   encender:fuego-ARR2-PROX1-3PL,"Allí, al llegar, encienden un fuego.",I,Payne (1993): pp. 27
,kuutya-nuvaa-níí...,susurrar-ARR2-3SG,Él susurra al llegar...,I,Payne (1993): pp. 27
sadíímyáá rííwa máki̜dya,sa=dííy=máá ra=íwa máki̜dya,3SG.AN.I=ver=PRF   INAN.I=DAT   máquina,Él ha visto la máquina.,I,Payne y Peña (2019): pp. 31 [adaptado de Powlison 1995: pp. 162)
,sa-murá̜á̜y,3SGI-cantar.para.llamar.a.los.espíritus,Él está cantando para llamar a los espíritus,I,Payne y Payne (1990): pp. 254
,sa-murá̜á̜y   manúngo,3SGI-cantar.para.llamar.a.los.espíritus   Manungo,Manungo está cantando para llamar a los espíritus,I,Payne y Payne (1990): pp. 254
,manúngo   murá̜á̜y,Manungo   cantar.para.llamar.a.los.espíritus,Manungo está cantando para llamar a los espíritus,I,Payne y Payne (1990): pp. 254
múúy   jú̜u̜ñíí,múúy   jú̜u̜y-níí,ahí   caer-3SGII,Ahí él se cae,I,Payne y Payne (1990): pp. 256
siimyaasiñíí   Moquɨɨ   su̜u̜síjyu̜,siiy-maasiy-níí   Moquɨɨ   sa-ju̜siy-jù,correr-ir.afuera-3SGII   Moquɨɨ   3SGI-detrás-ADLAT,Moquɨɨ corre (hacia afuera) detrás de él,I,Payne y Payne (1990): pp. 256
siimyaasiy su̜u̜s´jyu̜níí,siiy-maasiy-níí   sa-ju̜siy-jù-níí,correr-ir.afuera   3SGI-detrás-ADLT-3SGII,Él corre (hacia afuera) detrás de él,I,Payne y Payne (1990): pp. 256
sasiimyaasiy Pedro,sa-siiy-maasiy   Pedro,3SGI-correr-ir:afuera   Pedro,Pedro corre (hacia afuera),I,Payne y Payne (1990): pp. 257
sadííyada   jí̜í̜ta   váriy,sa-díí-jada   jí̜í̜ta   váriy,3SG-morir-PAST3   JIITA   luego,"Luego, él murió",I,Payne y Payne (1990): pp. 263
saya jí̜í̜tantiy múúy,sa-jiya   jí̜í̜ta-ntiy   múúy,3SG-ir   JIITA-REPET   ahí,"Nuevamente, él va allí",I,Payne y Payne (1990): pp. 262
raryúpa̜a̜maa tánuvu̜dajovɨɨmusidyey,ray-rúpa̜a̜-maa   tánuvu̜dajo-vɨɨmu-siy-day,1SG-escapar-PERF   prisión-adentro-ABLT-DAY,Yo he escapado de la prisión,I,Payne y Payne (1990): pp. 279
samááy Aníta,sa-mááy   Aníta,3SG-dormir   Anita,Anita está durmiendo,I,Payne y Payne (1990): pp. 284
rápoo jí̜í̜ta sasú̜ú̜jyo,rá-poo   jí̜í̜ta   sa-sú̜ú̜y-jo,INAN-hinchar   JIITA   3SG-picar-NOMLZR,La picadura se hinchó,I,Payne y Payne (1990): pp. 306
,,,,,
