,,,,,,
Language Sample,,,,,,
,,,,,,
,Lengua,Glottocode,Familia Lingüística,Latitud,Longitud,Fuentes principales
,ashaninka,asha1243,arawak,-11.93,-73.91,
,bora,bora1263,bora,-2,-72.26,Thiesen y Weber 2012
,iquito,iqui1243,zápara,-3.31,-73.97,Lai 2009
,kukama-kukamiria,coca1259,tupí-guaraní,-4.5,-74,Vallejos 2016
,murui,muru1274,witoto,-1.14,-73.83,Wojtylak 2017
,shipibo-konibo,ship1254,pano,-7.17,-74.82,Valenzuela 2003; 2010
,shiwilu,jebe1250,kawapana,-5.4,-76.41,Bendor-Samuel 1981; Valenzuela 2008; 2011
,urarina,urar1246,aislado lingüístico,-4.44,-75.42,Olawsky 2006
,wampís,huam1247,jíbaro,-3.99,-77.98,Peña 2015
,yagua,yagu1244,peba-yagua,-3.43,-72.22,Payne y Payne 1990; Payne 1993; Payne y Peña 2019
,yánesha,yane1238,arawak,-10.55,-75.31,Duff-Tripp 1997
